,sizeSeq1,sizeSeq2,repNo,angleSeq,mod,n,Resp_mean,Resp_raw,Resp_std,acc_mean,acc_raw,acc_std,biggerStim_mean,biggerStim_raw,biggerStim_std,correctAnswer_mean,correctAnswer_raw,stimChose_mean,stimChose_raw,order
152,1,1,10.0,10.0,-1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,152.0
153,1,1,5.0,30.0,1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,153.0
154,0.4,1,3.0,50.0,1.0,1.0,-1.0,-1.0,0.0,,,,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,154.0
155,1.15,1,4.0,40.0,-1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,155.0
156,0.55,1,9.0,20.0,-1.0,1.0,1.0,1.0,0.0,,,,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,156.0
157,0.85,1,9.0,50.0,1.0,1.0,-1.0,-1.0,0.0,,,,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,157.0
158,0.85,1,6.0,40.0,-1.0,1.0,1.0,1.0,0.0,,,,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,158.0
159,1.3,1,4.0,40.0,-1.0,1.0,-1.0,-1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,159.0
160,0.4,1,9.0,10.0,1.0,1.0,-1.0,-1.0,0.0,,,,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,160.0
161,1.45,1,8.0,50.0,-1.0,1.0,-1.0,-1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,161.0
162,1.15,1,3.0,10.0,-1.0,1.0,-1.0,-1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,162.0
163,0.4,1,5.0,50.0,-1.0,1.0,1.0,1.0,0.0,,,,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,163.0
164,1.3,1,2.0,50.0,-1.0,1.0,-1.0,-1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,164.0
165,1,1,4.0,30.0,1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,165.0
166,1,1,3.0,10.0,1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,166.0
167,1.6,1,7.0,30.0,-1.0,1.0,-1.0,-1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,167.0
168,1,1,2.0,40.0,1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,168.0
169,0.4,1,7.0,50.0,1.0,1.0,-1.0,-1.0,0.0,,,,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,169.0
170,1.3,1,2.0,30.0,1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,170.0
171,0.55,1,10.0,10.0,-1.0,1.0,1.0,1.0,0.0,,,,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,171.0
172,1.15,1,1.0,20.0,1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,172.0
173,0.4,1,5.0,40.0,-1.0,1.0,1.0,1.0,0.0,,,,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,173.0
174,0.55,1,8.0,10.0,-1.0,1.0,1.0,1.0,0.0,,,,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,174.0
175,1.3,1,7.0,40.0,-1.0,1.0,-1.0,-1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,175.0
176,0.7,1,10.0,20.0,1.0,1.0,-1.0,-1.0,0.0,,,,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,176.0
177,1.45,1,4.0,50.0,1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,177.0
